tender_id,title,predicted_category,category_confidence,sample_group,human_verdict,actual_category,notes
2026_BSF_907629_1,"[Repair and maintenance of ADM Block at BSF Campus Koirengei under SHQ CI (OPS) Manipur (SH Replacement of CGI Sheet and Ridge, Partially Distemper, Plaster, False celling] [58/Engg/FTR/M and C/2025-26]",Works,0.7662267088890076,proportional_100,,,
2026_DOP_907469_1,[Providing and fixing Branding and Design work Departmental Logo Jan Sewa Connect PO name ACP for DWAR including lettering feature wall as per SPA Design Manual for Pallavaram Post Office Chennai] [02/PCD/C/2026-27],Works,0.535636305809021,proportional_100,,,
2026_IMSR_906175_1,"[Call for objection against procurement of surgical consumables under proprietary, AIIMS Rishikesh] [Proc-VCOM/99/2025-226]",Works,0.3525367677211761,proportional_100,,,
2026_IITR_906050_1,"[Painting and Polishing work of Furniture items in Hostels and Departments at Saharanpur Campus of IITR] [IWD/IE/2026-27/E Tender/C- 04 Dated April 21 , 2026]",Works,0.6882127523422241,proportional_100,,,
2026_FCI_907102_1,[MCW works at FSD Alappuzha for the year 2026 27 Providing Internal Electrical Wiring Power Sockets and Allied Works for the Installation of Smart Warehouse Equipment] [ENGG/EM/PTN/01/2026-27 dated 29.04.2026],Works,0.7384234070777893,proportional_100,,,
2026_DOP_907306_1,"[Provision of floor vitrified tile, C.C. flooring and kitchen tile for qtr no-H-5 at CTX compound Prayagraj] [04/AE/PCSD/ALD/2026-27 ]",Works,0.3989652395248413,proportional_100,,,
2026_DRDO_906485_1,[REPAIRING OF 2 X 90 TR CHILLER UNIT AT BORKHEDI SITE NAGPUR] [81310 CCE RnD SM EMU CHILLER CDEF BRKD 2025 26],Works,0.6154007911682129,proportional_100,,,
2026_ARMHA_905654_1,[28006/Engr/2026-27/MW-03] [28006/Engr/2026-27/MW-03],Works,0.5715025067329407,proportional_100,,,
2026_MoRTH_892968_1,[Reconstruction of Old Minor Bridge Banda Amboli Ghat at CH. 38.850 and Construction of Retaining wall And other safety measures in ghat portion in km 00.00 to 47.800 Section NH.548H in the Sindhudurg District Ta.Sawantwadi Dist. Sindhudurg .in] [Bid/Package No/12/EENH/Ratnagiri/NIT/ 66],Works,0.7582988739013672,proportional_100,,,
2026_MoRTH_903948_1,"[Widening to four lanes in eight villages, including construction of RCC drains in the Mul to Chandrapur section of NH 930 in the State of Maharashtra on EPC mode] [NIT14/EENH/GAD/2025-26/991 Dated 27.03.2026]",Works,0.9629165530204772,proportional_100,,,
2026_SSB_906211_1,[Providing and Installation of Deep Borng Tube Well With Over head Tank Stand at BOP Sisaiya under 57th Bn SSB Sitarganj.] [EE/SHQ/PBT/2025-26/38],Works,0.498311698436737,proportional_100,,,
2026_NHPC_906361_1,[Channelizing of river from downstream of barrage spillway at TLD-III Power Station] [NH/TLD-III PS/Cont./F-1245/43],Works,0.8083832859992981,proportional_100,,,
2026_NHDCL_906505_1,[Civil Work] [NHDC/Civil/2026/1],Works,0.7884430885314941,proportional_100,,,
2026_HOCL_906967_1,"[REPLACEMENT OF GI J - BOLTS, BITUMEN WASHERS AND DAMAGED SHEETS OF LIGHT ROOFING OF ADMINISTRATIVE BUILDING] [CIV10256/2026]",Works,0.4629458487033844,proportional_100,,,
2026_ASI_906199_1,"[PROVIDING OF MANPOWER UNDER MW TO CONSERVATION AND RESTORATION OF BASTION NO.11 AND REPAIR OF BASTION NO. 12 AND 14 TOWARDS WESTERN SIDE AT BHATINDA FORT, BHATINDA ] [3/21/MW-2025/CHD]",Works,0.7765703797340393,proportional_100,,,
2026_DDA_907330_1,[M/o of the work pertaining to completed/closed scheme.] [06/EE/SPD-1/DDA/2026-27 ],Works,0.8760179877281189,proportional_100,,,
2026_DDA_907056_1,"[Remittance of Project Cost from IWAI for Development of SITC of 630KVA compact substation , 11 KV/433V for Inland Water Transport Project of IWAI at Sonia Vihar.] [07/EE/ELD-13/DDA/2026-27 (SPLZ)]",Works,0.8358967900276184,proportional_100,,,
2026_DU_907395_1,"[Repair and maintenance work in housing works type II, block-1, House no.3 in SDC at University of Delhi] [ENGG-SDC/244/2026/21]",Works,0.7607431411743164,proportional_100,,,
2026_IISRM_905430_1,[External facade repairs and painting of Visitors Hostel G plus 7 storeyed ] [IISERM/EE/26-27/Tender-08],Works,0.6823698878288269,proportional_100,,,
2026_DFERT_906217_1,"[Expression of Interest For Build, Operation, and Maintenance of Goshala at Pandoli, Chittorgarh (Rajasthan)] [FAGMIL-125/EOI Gaushala Pandoli]",Works,0.873394787311554,proportional_100,,,
2026_HRI_904978_2,"[Works related to children park, Recapp office, dustbin sample and some furniture repair at HRI, Prayagraj] [HRI/13/2026]",Works,0.825547993183136,proportional_100,,,
2026_ARMHA_904804_1,"[Repair/ maint of drainage system in front of OR Bk, adm block and CH-DH at Jwalamukhi Grn.] [VIII.11011/22Sect/MW/26-27/15]",Works,0.6956271529197693,proportional_100,,,
2026_MoRTH_901224_1,[Recontruction of Minor Bridges in km 97/540 and Ch 106/600 at Abdimandi and Kagzipura respectively near Samruddhi Mahamarg on Daulatabad T point to Khultabad Road NH 752H Taluka Khultabad Dist.Chh.Sambhajinagar.] [EENHD/Chh.S./Tender/NIT No-9/3000405],Works,0.8561519384384155,proportional_100,,,
2026_IISRM_907687_1,"[Painting works in Classrooms (AB-1, AB-2 and LHC) at IISER Mohali.] [IISERM/EE/26-27/RFQ-03]",Works,0.9640583992004396,proportional_100,,,
2026_DMRC_906775_1,[Bituminous Road carpeting work from Ambedkar Nagar to Sangam Vihar of Line10 Delhi MRTS Project Phase IV on Mehrauli Badarpur Road] [CPM-6/2026/D-03],Works,0.9398888945579528,proportional_100,,,
2026_DOP_907310_1,[Demolition of boundary wall and road side shed verandah for post office building Gyanpur under Varanasi West Division] [05/AE/PCSD/ALD/2026-27 ],Works,0.8455626964569092,proportional_100,,,
2026_DU_906362_1,"[Electrical work to be carried out in newly developed rooms, minor maintenance in existing rooms and improving the illumination level on pathway, garden at Gandhi Bhawan, University of Delhi] [CEET-38]",Works,0.7742019295692444,proportional_100,,,
2026_IISC_906226_1,[Lightning Protection system for Main Building at IISc] [IISc/Tender-ELE-01/2026-27],Works,0.7499809265136719,proportional_100,,,
2026_MoRTH_905250_1,[BRIDGE AT Km 24 NEAR NAU DEVIAN TEMPLE ON NH 144 EXISTING BRIDGE AT Km 17 AND Km 24 UNDER PWD DIVISION KATRA IN THE UT OF JAMMU and KASHMIR ON EPC MODE.] [PWD R and B NH/Katra/EPC/2025-26/02/137],Works,0.8515499830245972,proportional_100,,,
2026_TMC_906007_1,[construction of 2nd floor building] [2ND FLOOR-STORE BUILDING/2026-27/06],Works,0.9595730304718018,proportional_100,,,
2026_IITB_906140_1,[Supply and Installation of Malus Law Apparatus at IIT Bhilai] [IITBh/Goods/Phy/2026-27/005 ],Works,0.5010532736778259,proportional_100,,,
2026_DDA_902773_2,[Upkeep and Maintenance of community Halls.] [38/EE/ELD-9/DDA/NIT/ 2025-26],Works,0.6510265469551086,proportional_100,,,
2026_DRDO_905527_1,[PROVISION OF GAZEBO WITH GARDEN BENCHES INCLUDING CHAIN LINK FENCING AT CHILDREN PARK NMRL AMBERNATH] [8056/EMU/PN/GAZEBO/NMRL/26-27],Works,0.7751805782318115,proportional_100,,,
2026_ASI_906447_1,"[Recall-2) SR to Development of frontal area and Balance Stone Masonry retaining wall of Ruins of Baradari, Distt. Sahibganj. ] [8/478/W/2025-26/MW-Con]",Works,0.825985848903656,proportional_100,,,
2026_ASI_906834_1,"[Conservation and restoration of various temples (Phool Devra, Nagadev, Gadia, Sardev Mata) at Atru, Distt. Baran (complete work)] [3/115/JPR/2025-26-W-1]",Works,0.925202250480652,proportional_100,,,
2026_NHPC_905381_1,[Repairing of Loktak-Leimatak road from RD 8.000 Km to RD 12.000 Km of Loktak Project.] [NH-LPS-CDIV/119/2025 CIVIL/1102],Works,0.8968779444694519,proportional_100,,,
2026_DOP_907426_1,"[SITC of 82.5 KVA DG Set at PLI Directorate, Chanakyapuri, New Delhi. (2nd call)] [PED/ND/NIT-07/26-27]",Works,0.5098040699958801,proportional_100,,,
2026_NCSM_906039_1,"[Design, Supply, Installation and Commissioning of Passenger Lift including Allied Works at National Science Centre, Delhi.] [NSCD/15014/1/e-tender/1/26-27]",Works,0.6182844638824463,proportional_100,,,
2026_DGLL_906382_1,[Provision of Generator shed at Kavaratti Lighthouse] [MS-Coc-27002/1/2019-MS],Works,0.5180445909500122,proportional_100,,,
2026_DDA_907786_1,[Up-gradation/modernization of existing parks/green belts] [01/EE / HCD-2/DDA/2026-27(Recall)],Works,0.8802824020385742,proportional_100,,,
2026_EIL_907479_1,[PRE TENDER MEET FOR SWITCHBOARD-MV (INDOOR) WITH VCB BREAKER] [PRE-TENDER MEET FOR SWITCHBOARD-MV (INDOOR) WITH VCB BREAKER OF HPCL PROJECT ],Works,0.3476452231407165,proportional_100,,,
2026_NITC_906133_1,[Electrical Infrastructure Improvement for Scientific Computing Lab-MAT 103] [Engg/EMU/TA2/006/MAT-103 Elec Works],Works,0.826645016670227,proportional_100,,,
2026_ARMHA_906356_1,[VIII.11011/33 AR/Engr-MW/NIT/2026-27/16] [VIII.11011/33 AR/Engr-MW/NIT/2026-27/16],Works,0.4685266315937042,proportional_100,,,
2026_ASI_906199_1,"[PROVIDING OF MANPOWER UNDER MW TO CONSERVATION AND RESTORATION OF BASTION NO.11 AND REPAIR OF BASTION NO. 12 AND 14 TOWARDS WESTERN SIDE AT BHATINDA FORT, BHATINDA ] [3/21/MW-2025/CHD]",Works,0.7765703797340393,proportional_100,,,
2026_PU_906741_1,[Creating office space using Aluminum partition and other facilities to the computer centre in the first floor of library annex building. ] [PU/EW/CC/Aluminium/2026-27],Works,0.652890682220459,proportional_100,,,
2026_DMRC_905169_1,[Manufacturing supply Installation Testing and Commissioning of signage work of 11 Underground stations viz Delhi Aerocity Mahipalpur Vasant Kunj Kishangarh Chhatarpur Chhatarpur Mandir IGNOU Neb Sarai Maa Anandmayee Marg Tughlakabad Rail] [CPM-6/2026/D-02],Works,0.8428481221199036,proportional_100,,,
2026_IGCAR_906672_1,"[Retrofitting works for PIF-I building in IGCAR, Kalpakkam.] [CEG/IGC/2189/2026]",Works,0.910405457019806,proportional_100,,,
2026_DOP_907359_1,"[Construction of Boundary Wall at Departmental Vacant Land, Dhenkanal Town, Dhenkanal] [7/CDB/2026-27]",Works,0.8076383471488953,proportional_100,,,
2026_DOP_907054_1,[S.I.T.C of indoor type L.T. Distribution Panel at Guna HPO Building under Guna Division (M.P).] [AE/PESD/BPL/NIT-2/26-27],Works,0.3957443237304687,proportional_100,,,
2026_IITR_906057_1,"[Repairing works of Beds, Tables and Recanning of Chairs in Rajendra, Radhakrishnan, Cautley, Rajiv, Ganga and Kasturba Bhawan at IIT Roorkee] [IWD/IE/2026-27/E Tender/C-05 Dated April 21 , 2026]",Works,0.7742432355880737,proportional_100,,,
2026_EIL_903231_1,"[SP/B933-011-PA-MR-5711/153 - PUMP-ROTARY.SCREW, PUMP-ROTARY.GEAR FOR Bina Petchem and Refinery Expansion Project (BPREP)] [SP/B933-011-PA-MR-5711/153]",Works,0.4718001782894134,proportional_100,,,
2026_BSF_906975_1,[Installation of sewerage treatment plant at 173 BN Now 126 BN BSF under SHQ BSF Jaisalmer South SH C O plant room Installation of sewerage treatment plant laying of external sewerage line laying of unfiltered] [67/HQ SDG (WC)/ENGG/ BSF/NIT/CO(WORKS) /2025-26],Works,0.5751401782035828,proportional_100,,,
2026_NRL_906878_1,"[SUPPLY OF FLANGE - CARBON STEEL (MTO-4) FOR AG AND UG PIPING FOR MSB, PFCC, GDS, FF FOR NREP] [ TK-1ZZZA-MP-RFQ-0221]",Works,0.5409780740737915,proportional_100,,,
2026_ASI_906430_1,"[Tender for execution of work under Upgradation procurement of Heritage Assets and n.c.e. to Shiv Temple at Bhojpur, Distt. Raisen (M.P.) ] [BPL/Upg.Prcu.H.nec/STB/26-27-C]",Works,0.9687475562095642,proportional_100,,,
2026_ESIC_906998_1,"[comprehensive annual repair maintenance and operations of ESIC Hospital and staff quarters at Kala Amb ,Distt-Sirmour ,HP-during 26-27] [W-17/1/2026-RO-PMD-Misc]",Services,0.6737262606620789,proportional_100,,,
2026_IITR_906218_1,"[Comprehensive Annual Maintenance Contract (CAMC) of 2x225 TR, Centralized AC Plant installed at MG Central Library, IIT Roorkee] [IWD/IE/26-27/CAMC-AC/E-07]",Services,0.6483678817749023,proportional_100,,,
2026_NITA_905581_1,[Supply of Laboratory and Scientific Equipment] [F.NITA20(454-ECE)/2022-23 /Nanolab/Chemical Setup],Services,0.3713622689247131,proportional_100,,,
2026_HWB_906376_1,"[Biennial maintenance of M/s. Jyoti Ltd make vacuum circuit breakers at CPP, HWPM] [HWPM/EU/G1/jyoti breakers/2025/07/NIT/02]",Services,0.6393201351165771,proportional_100,,,
2026_NABI_905635_1,[Provision of Aluminium Glass Partition in 2nd Floor Lab of NABI] [NABI/ENGG/7(139)2025-26],Services,0.7769599556922913,proportional_100,,,
2026_TMC_905468_1,[Providing GI Sheet Shed outside Porta Cabin Area near Gate No. 1 for Security Personnel Sitting At ACTREC] [ZS/ET-04/GI Shed outside Porta Cabin for Security/2026],Services,0.6062242984771729,proportional_100,,,
2026_DDA_907466_1,[Running and maintenance of DDA Roshanara Club.] [08/EE(E)/ELD-2/DDA/2026-27],Services,0.7787076234817505,proportional_100,,,
2026_IB_905081_1,[AMC for 14 nos of DG sets at 4 different locations at Delhi for 3 years] [4/T-1/2025(26)-464],Services,0.4003950953483581,proportional_100,,,
2026_DDA_906852_1,"[Day to Day Electrical Maintenance at Pocket-4 at Sector G7/G8, Narela.] [03/EE/ELD-4/DDA/2026-27]",Services,0.5602556467056274,proportional_100,,,
2026_IITR_905512_1,"[Cleaning of Storm water drain, Septic tank, Jungle cleaning, Desilting of drain and cleaning of choked deep sewer line in East and West Zone, IIT Roorkee] [IWD/IE/2026-27/E Tender/C-01 Dated April 15 , 2026]",Services,0.7664608359336853,proportional_100,,,
2026_HWB_905594_1,"[Supply, fabrication and installation of earthing flange shunts system for existing pipelines and other miscellaneous jobs at Heavy Water Plant, Tuticorin] [HWPT/ELEC/MP/2026/Earthing Phase-III/199/NIT]",Services,0.5146340727806091,proportional_100,,,
2026_IPA_904822_1,[Empanelment of Event Management Agencies for Executing National Level Events] [IPA / Domestic Event Execution Partners / 2026],Services,0.9659815430641174,proportional_100,,,
2026_IMSBP_905700_1,[Rate Contract for Procurement of AntiCancer Drugs at Drugs and Pharmacy Stores AIIMS Bhopal] [AIIMS/BPL/CS/Anti-cancer Drugs/26-27/006],Services,0.3799780905246734,proportional_100,,,
